"","id","title","singer","lyrics"
"1","30413326","SIGNAL","TWICE (트와이스)","     Trying to let you know Sign을 보내 signal 보내 I must let you know Sign을 보내 signal 보내 Sign을 보내 signal 보내 Sign을 보내 signal 보내 Sign을 보내 signal 보내 I must let you know Sign을 보내 signal 보내 근데 전혀 안 통해 눈빛을 보내 눈치를 주네 근데 못 알아듣네 답답해서 미치겠다 정말 왜 그런지 모르겠다 정말 다시 한 번 힘을 내서 Sign을 보내 signal 보내 눈짓도 손짓도 어떤 표정도 소용이 없네 하나도 안 통해 눈치도 코치도 전혀 없나 봐 더 이상 어떻게 내 맘을 표현해 언제부턴가 난 네가 좋아 지기 시작했어 바보야 왜 이렇게도 내 맘을 몰라 언제까지 이렇게 둔하게 나를 친구로만 대할래 내가 원하는 건 그게 아닌데 Signal 보내 signal 보내 찌릿 찌릿 찌릿 찌릿 난 너를 원해 난 너를 원해 왜 반응이 없니 만날 때 마다 마음을 담아 찌릿 찌릿 찌릿 찌릿 기다리잖아 다 보이잖아 왜 알지 못하니 Trying to let you know Sign을 보내 signal 보내 I must let you know Sign을 보내 signal 보내 널 보며 웃으면 알아채야지 오늘만 몇 번째 널 보며 웃는데 자꾸 말을 걸면 좀 느껴야지 계속 네 곁에 머물러있는데 언제부턴가 난 네가 좋아 지기 시작했어 바보야 왜 이렇게도 내 맘을 몰라 언제까지 이렇게 둔하게 나를 친구로만 대할래 내가 원하는 건 그게 아닌데 Signal 보내 signal 보내 찌릿 찌릿 찌릿 찌릿 난 너를 원해 난 너를 원해 왜 반응이 없니 만날 때 마다 마음을 담아 찌릿 찌릿 찌릿 찌릿 기다리잖아 다 보이잖아 왜 알지 못하니 찌릿 찌릿 찌릿 찌릿 왜 반응이 없니 찌릿 찌릿 찌릿 찌릿 왜 알지 못하니 Sign을 보내 signal 보내근데 전혀 안 통해눈빛을 보내 눈치를 주네근데 못 알아듣네답답해서 미치겠다 정말왜 그런지 모르겠다 정말다시 한 번 힘을 내서Sign을 보내 signal 보내"
"2","30447547","LONELY","씨스타","     너무 익숙해 이제 매번 끝까지 가네이건 행복이 아냐 이건 사랑이 아냐니가 뭘 하든 너에게 맞춰야 하지널 이해하는 나니까그냥 또 이렇게 아무 말 안하고넘어가야 편하겠지대단한걸 바라는 게 아냐이제 많은 기대도 하지 않아다만 끝이 날 까봐이대론 널 잃을 까봐너는 이제 내가 쉬워지니너는 내 걱정들이 부담되니 우리우리 너무 변했나 봐Baby baby lonely lonely lonely이렇게 끝인 거니왜 이러니 너 자꾸나만 혼자서 또 외로운 거니Baby baby lonely lonely lonely이게 사랑이니나만 변한 거니우리 지금 싸움인지 연앤지우린 toastand butter 처럼 가까웠지closer than close 갑자기 차가웠지주된 분위기는 정적 싸늘의 정점화내고 소리치고 파도가 치는 절정또 아무렇지 않은 듯 넌 꿇어 앉어진심이 아닌데도 받아주고 끌어안어조금만 괜찮아지면 또 그 날이 와그 날이 오면내 심장이 빠질 것 같아대단한걸 바라는 게 아냐이제 많은 기대도 하지 않아다만 끝이 날 까봐이대론 널 잃을 까봐너는 이제 내가 쉬워지니너는 내 걱정들이 부담되니 우리우리 너무 변했나 봐Baby baby lonely lonely lonely이렇게 끝인 거니왜 이러니 너 자꾸나만 혼자서 또 외로운 거니Baby baby lonely lonely lonely이게 사랑이니나만 변한 거니우리 지금 싸움인지 연앤지우리 여기까지만 하고 잊어볼까그때로 다시 돌아갈 수는 없을까Lonely my heart이제 이별만 남았잖아너도 끝을 준비하잖아다시 돌아갈 수 없다는 게너무 아파Baby baby lonely lonely lonely이렇게 끝인 거니왜 이러니 너 자꾸나만 혼자서 또 외로운 거니Baby baby lonely lonely lonely이게 사랑이니나만 변한 거니우리 지금 싸움인지 연앤지With timeEverything will be forgottenand so will youThat's what's really sad"
"3","30403589","I LUV IT","싸이 (PSY)","     내 나이 사십 babe울 엄마 귀한 자식 babe직업은 댄스 가수 babe15년째 딴따라A yeah기술보다는 예술이 I LUV IT실력보다는 매력이 I LUV IT품격보다는 파격이 I LUV IT사치보다는 가치가 좋아 I LUV IT자신을 LUV IT 여러분도 LUV IT앞뒤 양옆 사람들 I LUV IT so much남 걱정에 잠은 자셨냐니 시방 밥은 자셨냐생선을 먹을 땐 가시 발라먹어수박을 먹을 때는 씨 발라먹어날 좋아하는 분들 내 사랑 먹어욕하고 모욕하고 그랬다 카더라 카는 분들 모여 이거나 먹어I LUV IT I LUV IT I LUV IT Oh yesI LUV IT I LUV IT I LUV IT 유후I LUV IT I LUV IT I LUV IT I LUV IT만사가 다 오케이야 어절씨구 옹헤야We like 2 party babe가끔은 추억 팔이 babe그 추억은 수억짜리 babe그 돈 줘도 안 팔아A yeah개미보단 베짱이 I LUV IT반칙보단 변칙이 I LUV IT화풀이보단 뒤풀이 I LUV IT선비보단 좀비가 좋아 I LUV IT나의 fan LUV IT 안티 I LUV IT앞뒤 양옆 사람들I LUV IT so much남 걱정에 잠은 자셨냐니 시방 밥은 자셨냐생선을 먹을 땐 가시 발라먹어수박을 먹을 때는 씨 발라먹어날 좋아하는 분들 내 사랑 먹어욕하고 모욕하고 그랬다 카더라 카는 분들 모여 이거나 먹어I LUV IT I LUV IT I LUV IT Oh yesI LUV IT I LUV IT I LUV IT 유후I LUV IT I LUV IT I LUV IT I LUV IT만사가 다 오케이야 어절씨구 옹헤야난 극단적인 놈 중간을 몰라요이 정도는 껌 껌 껌 껌난 끝장 보는 놈 중간이 없어요누워서 떡 떡 떡 먹한번 더I LUV IT I LUV IT I LUV IT Oh yesI LUV IT I LUV IT I LUV IT 유후I LUV IT I LUV IT I LUV IT I LUV IT만사가 다 오케이야 어절씨구 옹헤야오오오오오오오 좋아 좋아 좋아 좋아오오오오오오오 참좋아 아주 좋아오오오오오오오 좋아 좋아 좋아 좋아오오오오오오오"
"4","30453635","NEVER","국민의 아들","     사랑하지 않기를 원해 eh멈출 수 없는 기억 속에 yeah ehEverytime everywhere내 머릿속에 너밖에 안보여한 줌의 재가 되길 바래 yeah매일 반복해 널 지우는 일뼛속까지 시려조각들에 찔린 느낌다시 돌아보니눈부시게 빛나는 길부디 흔적 없이너를 남겨두지 않길 eh더 이상은 never ever근데 내 맘은 또 왜 널 채워We're not forever눈물로 채워슬픈 엔딩으로 끝난 우리 둘NeverYeah eh 내 머릿속에서이제는 get away아름답던 우리는 저 위로Yeah eh 깊은 곳에 맴도는 그 말I love you내 곁에서 떠나가줘 yeah난 니가 너무 무서워 yeahEverytime everywhere내 목숨조차아깝지 않을 사랑이었어I love you love you love you붙잡아낼 수도담아낼 수도 없어시간은 갈수록내 소유욕만 커져빛을 둘러싼 건어둠이라는 난데보이지 않는 내게서넌 멀어져 가네 eh더 이상은 never ever차라리 지금 내겐 getting betterWe're not forever눈물로 채워슬픈 엔딩으로 끝난 우리 둘NeverYeah eh 내 머릿속에서이제는 get away아름답던 우리는 저 위로Yeah eh 깊은 곳에 맴도는 그 말I love you아직도 내 맘 속엔슬픈 비가 내려와홀로 니가 내리던 밤I wanna see you again널 지워 이젠I don't wanna knowI don't wanna know나를 등져버린 그 마음과그런 말은 넣어둬너의 모든 순간과모든 추억을 다 잊어버리게I don't wanna goI don't wanna go아직 꺼지지 않은 불씨에숨을 불어넣어줘I let you go yeah oh혼자만의 에필로그이제는 끝을 내I'm going on my way더 이상은 never ever근데 내 맘은 또 왜 널 채워We're not forever눈물로 채워슬픈 엔딩으로 끝난 우리 둘NeverYeah eh 내 머릿속에서이제는 get away아름답던 우리는 저 위로Yeah eh 깊은 곳에 맴도는 그 말I love you"
"5","30403590","New Face","싸이 (PSY)","     어딜 쳐다보는 거냐고솔직히 너 그래 너 생판 처음 만난 너왜 널 쳐다보는 거냐고궁금해서 설레서 낯설어서uh 두근 두근 두근 워침착하게 서로서로 살살 알아볼까나오빠 차 핸들 살살 돌려볼까나모르는게 약이야객관식은 첫 눈에 찍는게 답이야뜨거운 fyah 너의 맘 나의 맘 두근 두근 두근 워사람 새로운 사람너무 설레어서 어지러워요만남 새로운 만남너무 설레어서 미치겠어요낯선 낯선 여자의 낯선 향기에Yes I want some new face낯선 낯선 여자의 낯선 향기에Yes I want some new faceNew face new face new new new faceNew face new face new new new face원래 이런 사람이냐고아니올시다 이거 봐봐눈을 맞춰야 눈이 맞아지금 작업하는 거냐고솔직히 yes 그래 yes 오 yesuh 두근 두근 두근 워궁합이 떡인지 살살 맞춰볼까나말하지 않아도 알아맞혀 볼까나알면 병이야 어서 나를 따너의 맥주병이야 님의 뽕이야너의 맘 나의 맘 두근 두근 두근 워사람 새로운 사람너무 설레어서 어지러워요만남 새로운 만남너무 설레어서 미치겠어요낯선 낯선 여자의 낯선 향기에Yes I want some new face낯선 낯선 여자의 낯선 향기에Yes I want some new faceNew face new face new new new faceNew face new face new new new faceHey we want some new face hey we want some new faceHey we want some new face hey we want some new face두근 두근 두근 워낯선 낯선 여자의 낯선 향기에Yes I want some new face낯선 낯선 여자의 낯선 향기에Yes I want some new face예이 예이 예이 예 all right new face예이 예이 예이 예 all right new face두근 두근 두근 워 new face"
"6","30390068","오늘 취하면 (Feat.창모) (Prod. SUGA)","수란 (SURAN)","     아직 잊지 못하고아주 달콤히 맴돌아나 꿈인 줄 모르고 star헤매이고 있어그냥 어지러운 가봐요잠이 든 그댄 아무 말도 말아요이미 익숙해진 우리 미로 사이참을 수 없어Have a feel so sweet어색했던 우리 첫 와인처럼쓰고 아프지만두 눈에 가득 담아흐르는 대로 널 보내줄게나 너에게 취해난 이 밤에 취해니가 모질게 했던 그 기억 속에그 추억에 헤매 널 찾고 있어그냥 잊을래너의 맘도 알고 싶어 boy그냥 잊어줘Baby Please don't go나 바빠 Bay 아니야그만 잡아 Phone우리 얘기 다 끝났어난 차가운 남자라고누가 취하면 그런 거 못해잡다 놓다가 새 Phone에지문 묻히기 누가 못하냐고알아 난 나이 24이별 따위엔 서툴지사실 이제 나 익숙해졌음 해마치 또래보다훨씬 많은 돈을 버는 일허나 나보다훨씬 여리디 여린 널 위해다 큰 어른인 척 좀할 수 밖에 없는걸 생각해 좀좀좀지울 수 없어Have a feel so sweet익숙해져 버린 네 향기처럼쓰고 아프지만내 맘에 가득 담아흐르는 대로 널 보내줄게나 너에게 취해난 이 밤에 취해니가 모질게 했던 그 기억 속에그 추억에 헤매 널 찾고 있어그냥 잊을래너의 맘도 알고 싶어 boy그냥 잊어줘Baby Please don't go눈 감으면 맴돌아 너와 걷던 길함께한 시간 이대로 잠들면 oh오늘 좀 취한 것 같아잠긴 목소리로 불러도넌 아무렇지 않게 가줘나 너에게 취해난 이 밤에 취해니가 모질게 했던 그 기억 속에그 추억에 헤매 널 찾고 있어그냥 잊을래너의 맘도 알고 싶어 boy그냥 잊어줘Baby Please don't go"
"7","30408193","맞지?","언니쓰","     넌 내가 어떤 꿈꾸는 것 같니지드래곤 같은 남자 아님 뭔데넌 내가 어떨 때 멋있는 것 같니언니쓰만큼 멋진 것 같은데please please please please 말해줘내가 또 움츠러들려고 하거든말해줘hey girlswe like itno shy shy shy okaya 1 and a 2we’re no sitting aroundlisten my girlswe like itwe sha sha shine okay자 맘을 먹고 설쳐보자you like it like it like itwe got it오늘 나 나 예쁜 거 맞지 맞지끝내 주는 거 맞지 끝내주지있잖아 너 넌 내 편 맞지 맞지나 오늘 미쳐버려도 되지cuz I’m going little crazytonight있잖아 나 오랜만에물 만난 것 같애넌 내가 어디가 괜찮은지말하면 뭐해 뭐가 부족한데넌 내가 어떤 날 또 생각나는지눈물 날 만큼 좋은 일 있을 때please please please please 말해줘내가 더 조금 더 높이 더 날수있도록hey girlswe like itno shy shy shy okaya 1 and a 2we’re no sitting aroundlisten my girlswe like itwe sha sha shine okay자 맘을 먹고 설쳐보자you like it like it like itwe got it오늘 나 나 예쁜 거 맞지 맞지끝내 주는 거 맞지 끝내주지있잖아 너 넌 내 편 맞지 맞지나 오늘 미쳐버려도 되지cuz I’m going little crazytonight있잖아 나 오랜만에물 만난 것 같애모두 다 우릴 봐봐소리쳐 미쳐 봐봐모두 다 우릴 봐봐소리쳐 미쳐 봐봐예예 one more baby예예 UnniesYeah Unnies 모두 우릴 봐봐우릴 보는 순간 모두 Huh 놀라진짜가 나타났지 서로 다른 곳에서하나로 뭉쳤지우리 너무 이쁘지 맞지 맞지그래서 그런지 남다른 에너지걱정하지마 그냥 일단 들어와해치진 않으니까 같이 즐겨봐오늘 나 나 행복해 미쳐 미쳐너도 지금 그렇지 끝내주지이제 나 난 내 Feel에 미쳐 미쳐딱 그냥 오늘처럼 살라구다신 주저앉지 않을라구있잖아 나 이제서야날 만난 것 같애"
"8","30378156","팔레트 (Feat. G-DRAGON)","아이유","     팔레트 (Feat. G-DRAGON)이상하게도 요즘엔 그냥 쉬운 게 좋아하긴 그래도 여전히 코린 음악은 좋더라Hot Pink 보다 진한 보라색을 더 좋아해또 뭐더라 단추 있는 Pajamas Lipstick 좀 짓궂은 장난들 I like it I'm twenty five날 좋아하는 거 알아I got this I'm truly fine이제 조금 알 것 같아 날긴 머리보다 반듯이 자른 단발이 좋아하긴 그래도 좋은 날 부를 땐 참 예뻤더라오 왜 그럴까 조금 촌스러운 걸 좋아해그림보다 빼곡히 채운 Palette 일기 잠들었던 시간들I like it I'm twenty five날 미워하는 거 알아I got this I'm truly fine이제 조금 알 것 같아 날어려서 모든 게 어려워 잔소리에 매 서러워꾸중만 듣던 철부지 애겨우 스무고개 넘어 기쁨도 잠시 어머아프니까 웬 청춘이래지은아 오빠는 말이야 지금 막 서른인데나는 절대로 아니야 근데 막 어른이 돼아직도 한참 멀었는데 너보다 다섯 살 밖에 안 먹었는데스물 위 서른 아래 고맘때 Right there애도 어른도 아닌 나이 때 그저 나일 때가장 찬란하게 빛이 나 어둠이 드리워질 때도 겁내지 마너무 아름다워서 꽃잎 활짝 펴서언제나 사랑 받는 아이 YOUPalette 일기 잠들었던 시간들I like it I'm twenty five날 좋아하는 거 알아I got this I'm truly fine이제 조금 알 것 같아 날아직 할 말이 많아I like it I'm twenty five날 미워하는 거 알아I got this I've truly found이제 조금 알 것 같아 날"
"9","30188113","Shape of You","Ed Sheeran","     The club isn’t the best place to find a lover So the bar is where I go Me and my friends at the table doing shots drinking fast and then we talk slow you come over and start up a conversation with just me and trust me I’ll give it a chance now Take my hand stop put van the man on the jukebox and then we start to dance And now I’m singing like Girl you know I want your love Your love was handmade for somebody like me Come on now follow my lead I may be crazy don’t mind me Say boy let’s not talk too much Grab on my waist and put that body on me Come on now follow my lead Come come on now follow my lead I’m in love with the shape of you We push and pull like a magnet do Although my heart is falling too I’m in love with your body Last night you were in my room And now my bed sheets smell like you Every day discovering something brand new I’m in love with your body Oh I Oh I Oh I Oh I I’m in love with your body Oh I Oh I Oh I Oh I I’m in love with your body Oh I Oh I Oh I Oh I I’m in love with your body Every day discovering something brand new I’m in love with the shape of you One week in we let the story begin We’re going out on our first date You and me are thrifty So go all you can eat Fill up your bag and I fill up a plate We talk for hours and hours about the sweet and the sour And how your family’s doing ok leave and get in a taxi then kiss in the backseat Tell the driver make the radio play and I'm singing like Girl you know I want your love Your love was handmade for somebody like me Come on now follow my lead I may be crazy don’t mind me Say boy let’s not talk too much Grab on my waist and put that body on me Come on now follow my lead Come come on now follow my lead I’m in love with the shape of you We push and pull like a magnet do Although my heart is falling too I’m in love with your body Last night you were in my room And now my bed sheets smell like you Every day discovering something brand new Well I’m in love with your body Oh I Oh I Oh I Oh I I’m in love with your body Oh I Oh I Oh I Oh I I’m in love with your body Oh I Oh I Oh I Oh I I’m in love with your body Every day discovering something brand new I’m in love with the shape of you Come on be my baby come onCome on be my baby come onCome on be my baby come onCome on be my baby come onCome on be my baby come onCome on be my baby come onCome on be my baby come onCome on be my baby come onI’m in love with the shape of youWe push and pull like a magnet doAlthough my heart is falling tooI’m in love with your bodyLast night you were in my roomAnd now my bed sheetssmell like youEvery day discoveringsomething brand newWell I’m in love with your bodyCome on be my baby come onCome on be my baby come onCome on be my baby come onCome on be my baby come onCome on be my baby come onCome on be my baby come onEvery day discoveringsomething brand newI’m in love with the shape of you"
"10","30341745","REALLY REALLY","WINNER","     REALLY REALLY REALLY REALLYOH WAHREALLY REALLY REALLY REALLY어디야 집이야 안 바쁨 나와봐너네 집 앞이야 너에게 하고픈 말이 있어이걸 어떻게 말을 꺼내야 할진 모르겠지만이상한 말 아냐 부담 없이 들어줘지금 내 눈에 제일 아름다운 건 너야 LADY널 향한 내 맘이 돈이면 아마 난 BILLIONAIRE널 좋아해REALLY REALLY REALLY REALLY내 맘을 믿어줘 OH WAHREALLY REALLY REALLY REALLY널 좋아해REALLY REALLY REALLY REALLY내 맘을 받아줘 OH WAHREALLY REALLY REALLY REALLY넌 나 어때멋지게 골인프러포즈 같은 세리머니정해보자 호칭 허니 말고 자기 아님 달링낯간지럽네 상상해봐도긴장돼 필요해 a lot of alcohol덩치는 산만해도 네 앞에선 작아지네oh 내 맘 알까나첫눈에 미끄러지듯이 Falling in love내 맘을 훔친 범인인 건 바로 너너의 미모 질투해 여신도내 심장의 떨림은 진동 brrr치명적인 매력이 날 killin’섹시해 날 자극하는 Hot chili woo오해하지 마 나는 진짜진심으로 채워줄게 너의 빈 잔지금 내 눈에 제일 아름다운 건 너야 LADY널 향한 내 맘이 돈이면 아마 난 BILLIONAIRE널 좋아해REALLY REALLY REALLY REALLY내 맘을 믿어줘 OH WAHREALLY REALLY REALLY REALLY널 좋아해REALLY REALLY REALLY REALLY내 맘을 받아줘 OH WAHREALLY REALLY REALLY REALLY넌 나 어때혹시라도 내가 불편하면 let me know한걸음 뒤로 가 단지 아는 사이로기다릴 수 있어 너도 나를 좋아할 거 같다 말해줘 지금 당장 만나 나 진심으로 네게 할 말이 있어 널 좋아해REALLY REALLY REALLY REALLY내 맘을 믿어줘 OH WAHREALLY REALLY REALLY REALLY널 좋아해REALLY REALLY REALLY REALLY내 맘을 받아줘 OH WAHREALLY REALLY REALLY REALLY넌 나 어때네가 좋아 REALLY REALLY OH YEAH널 좋아해"
"11","30367365","BLUE MOON (Prod. GroovyRoom)","효린","     어서 날 알아보길 바래 나 없는 넌 안 되겠다고 말해 깨고 또 깨어나도 반복되는 깊고 슬픈 꿈 내 머릴 쓰다듬고 이제 괜찮다고 말해 메마른 너의 눈빛은 make me crazy 둘 사이 파랗고 위태로운 다리를 건너 나밖에 몰랐었던 너 사랑이 전부였던 나 그곳으로 난 돌아가길 바래 날 끌어당겨 작은 틈도 없게 해줘네게 안겨 지친 맘을 쉬고 싶어발이 땅에 닿지 않는 이별 위를 혼자 허우적대며 걷지 않게 해줘 I walk on the moon in the air I walk on the moon in the air 바닥 출신의 신사가 널 원해 이 신사는 never leave you lonely 오늘 낮 오늘 밤 아 오늘 다 너한테 내줄래 무료로 다 전세 내 동네로 와 도시를 나와줘 도시의 공주님 나에게 맡겨 널 걱정 마 돈 벌어 구매할래 니 시간 말 안 할랬는데 내가 스타래 서울시가 널 탐하는 남자는 villain 영웅은 단번에 악당을 killin 야망이 가득한 난 그 후 널 안고 총 모양 오른손을 한 채로 1llin Baby girl 나와 그댄 어려 시간은 많잖아 나와 몇 억 초를 세버려 Mooooah 오늘뿐여도 yes 죽을 때까지라면 더 yes princess 날 끌어당겨 작은 틈도 없게 해줘네게 안겨 지친 맘을 쉬고 싶어발이 땅에 닿지 않는 이별 위를혼자 허우적대며 걷지 않게 해줘I walk on the moon in the airI walk on the moon in the airI walk on the moon in the airI walk on the moon in the air"
"12","30349593","사랑이 잘 (With 오혁)","아이유","     미리 말할게 사과는 안 해아무 말 없이 너 후회 안 해다 관심 없잖아 친구야 뭐야Oh you know what to do피곤해 그만 오늘은 놔 줘더 이상 반복하긴 싫어또 다 내가 나빠아마 그래 난 널 미워하나 봐사랑이 잘 안 돼떠올려 봐도피부를 비비고 안아봐도 입술을 맞춰도 참생각대로 되지 않아웃긴 것 같아되돌려보려고 서로 모른 척해도이제 와 우리가 어떻게다시 사랑 같은 걸 하겠어다섯 번째 미안하단 말이이젠 너에게는 지겨운 건지마지막일 거란 예감이 들어Oh you know what to do이건 내가 오늘 하루 종일그린 저녁은 분명 아니야널 보면 자꾸 네 안에 내가 보여서이젠 내가 싫어사랑이 잘 안 돼떠올려 봐도피부를 비비고 안아봐도 입술을 맞춰도 참생각대로 되지 않아웃긴 것 같아되돌려보려고 계속 모른 척해도이제 와 우리가 어떻게다시 사랑 같은 걸 하겠어어디야넌 어디야집이야난 택시야집에 거의 다 와가니Oh 미안해뭐 어떤 게그냥 다들어가나 지갑 거기 두고 왔어Oh 있잖아아니야말해 봐이제 더 사랑하지 않는 것 같아아사랑이 잘 안 돼떠올려 봐도피부를 비비고 안아봐도 입술을 맞춰도 참생각대로 되지 않아웃긴 것 같아되돌려보려고 서로 모른 척해도이제 와 우리가 어떻게다시 사랑 같은 걸 하겠어"
"13","30399360","미치고 싶다","한동근","     환상을 본 적이 있나요전 있어요아지랑이 같은 색깔이죠텅 빈 이 벤치에 그대가보이네요투명하고 연기 같긴 해도넋이 나간 날 보면서모두 미쳤냐고 해요뭐 그래요그대만 보인다면야미친 게 꼭 나쁘지는 않네요그래요차라리 더 미쳐서 보고 싶죠그대가어딨어 어딨어 도대체어디서 뭘 하고 있어 난이렇게나 망가지고 있는데갈수록 더 많이 보여요맘 아프게돌아올 것 같은 모습으로그대 보인다고 하면정신 차리라고 해요뭐 그래요그대만 보인다면야미친 게 꼭 나쁘지는 않네요그래요차라리 더 미쳐서 보고 싶죠그대가어딨어 어딨어 도대체어디서 뭘 하고 있어 난이렇게나 망가지고 있는데진짜 같은 네가 안아주는 모습더 진짜 같은 너와 입 맞추는 느낌이 모든 게 이 모든 게난 그리워서오늘도 미칠 듯이 취하고만 싶어요미친 게 꼭 나쁘지는 않네요그래요차라리 더 미쳐서 보고 싶죠그대가어딨어 어딨어 도대체어디서 뭘 하고 있어 난이렇게나 망가지고 있는데"
"14","30190630","첫눈처럼 너에게 가겠다","에일리","     널 품기 전 알지 못했다내 머문 세상 이토록 찬란한 것을작은 숨결로 닿은 사람겁 없이 나를 불러준 사랑몹시도 좋았다너를 지켜보고 설레고우습게 질투도 했던평범한 모든 순간들이캄캄한 영원그 오랜 기다림 속으로햇살처럼 니가 내렸다널 놓기 전 알지 못했다내 머문 세상 이토록 쓸쓸한 것을고운 꽃이 피고 진 이 곳다시는 없을 너라는 계절욕심이 생겼다너와 함께 살고 늙어가주름진 손을 맞잡고내 삶은 따뜻했었다고단 한번 축복그 짧은 마주침이 지나빗물처럼 너는 울었다한번쯤은 행복하고 싶었던 바람너까지 울게 만들었을까모두 잊고 살아가라내가 널 찾을 테니니 숨결 다시 나를 부를 때잊지 않겠다너를 지켜보고 설레고우습게 질투도 했던니가 준 모든 순간들을언젠가 만날우리 가장 행복할 그날첫눈처럼 내가 가겠다너에게 내가 가겠다"
