"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"46","RT @_koume_princess: 얼마전 한국시리즈때 야구 보시던 아버지가 ""삼성 저 망할 놈들 두산한테 져야돼""라고 하셔서 왜 그러시나 궁금해 물어보니 ""삼성이 너 떨어뜨렸잖아""라고 하셨다. 못난 아들을 생각해주시는 아버지한테 살짝 감동을 받아…",FALSE,0,NA,2015-11-09 05:17:36,FALSE,NA,"663586213232668672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kyu_bbaregi",1175,TRUE,FALSE,NA,NA
"47","RT @ianyoun: 이번 한국야구의 부진은 실력차가 아니라 생각합니다. 언제나 세계대회엔 병역면제란 큰 선물보따리가 있었지만 이번엔 아무 타이틀이 없었죠..당구 한게임을 쳐도 짜장면 한그릇 이라도 걸어야하는 우리들이고보면 ㅋ ㅋ",FALSE,0,NA,2015-11-09 05:17:10,FALSE,NA,"663586101941002245",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","E4646464646",6,TRUE,FALSE,NA,NA
"48","RT @_koume_princess: 얼마전 한국시리즈때 야구 보시던 아버지가 ""삼성 저 망할 놈들 두산한테 져야돼""라고 하셔서 왜 그러시나 궁금해 물어보니 ""삼성이 너 떨어뜨렸잖아""라고 하셨다. 못난 아들을 생각해주시는 아버지한테 살짝 감동을 받아…",FALSE,0,NA,2015-11-09 05:16:39,FALSE,NA,"663585975151398912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","choco261",1175,TRUE,FALSE,NA,NA
"49","@ma_cchiato 
마자 ㅋㅋㅋㅋㅋ
뭐만하면 야구?! ㅋㅋㅋㅋㅋ
야구복입고 하천에서 수영하는것도 넘 기엽고 ㅋㅋㅋ으윽ㄱ 내 요메..(?",FALSE,0,"ma_cchiato",2015-11-09 05:16:31,FALSE,"663585063460696064","663585939512365056","3062819539","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","mimmi3310",0,FALSE,FALSE,NA,NA
"50","RT @gyung0223: RT) 워보이 테마 야구점퍼 실신청 폼 (~11/14 토)
https://t.co/oS5Mn9gSoQ",FALSE,0,NA,2015-11-09 05:16:07,FALSE,NA,"663585839394353152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kaya8812",6,TRUE,FALSE,NA,NA
"51","홀짝게임★ https://t.co/MWw9pKf9Z2 ★야구토토사이트 #안전한사설놀이터

https://t.co/fsSFVnCaZy #토토 사이트추천",FALSE,0,NA,2015-11-09 05:16:03,FALSE,NA,"663585820348035072",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","yeabi5",0,FALSE,FALSE,NA,NA
"52","RT @gyung0223: RT) 워보이테마 야구점퍼 시안이 나왔습니다.
일반 야잠원단인 멜톤,습식레자가 아닌 트윌원단입니다!
가격은 6만원(+배송비4천원). 주문량이 늘면 차액을 동봉해드립니다.
실신청 폼은 이어지는 트윗에 달게요! https://…",FALSE,0,NA,2015-11-09 05:15:56,FALSE,NA,"663585792791441408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kaya8812",34,TRUE,FALSE,NA,NA
"53","#와이즈토토사이트 【◆ ＮａＮ３４ㆍＣＯＭ ◆】#해외야구토토배당좋은사이트 야구스페셜~완비 신규 10퍼센트 행사중!",FALSE,0,NA,2015-11-09 05:15:43,FALSE,NA,"663585738307473408",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","qkswl120",0,FALSE,FALSE,NA,NA
"54","RT @_koume_princess: 얼마전 한국시리즈때 야구 보시던 아버지가 ""삼성 저 망할 놈들 두산한테 져야돼""라고 하셔서 왜 그러시나 궁금해 물어보니 ""삼성이 너 떨어뜨렸잖아""라고 하셨다. 못난 아들을 생각해주시는 아버지한테 살짝 감동을 받아…",FALSE,0,NA,2015-11-09 05:14:44,FALSE,NA,"663585489639751681",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","seohee_ar",1175,TRUE,FALSE,NA,NA
"55","RT @_koume_princess: 얼마전 한국시리즈때 야구 보시던 아버지가 ""삼성 저 망할 놈들 두산한테 져야돼""라고 하셔서 왜 그러시나 궁금해 물어보니 ""삼성이 너 떨어뜨렸잖아""라고 하셨다. 못난 아들을 생각해주시는 아버지한테 살짝 감동을 받아…",FALSE,0,NA,2015-11-09 05:14:43,FALSE,NA,"663585486242451456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","srooky_mist",1175,TRUE,FALSE,NA,NA
"56","RT @gyung0223: RT) 워보이테마 야구점퍼 시안이 나왔습니다.
일반 야잠원단인 멜톤,습식레자가 아닌 트윌원단입니다!
가격은 6만원(+배송비4천원). 주문량이 늘면 차액을 동봉해드립니다.
실신청 폼은 이어지는 트윗에 달게요! https://…",FALSE,0,NA,2015-11-09 05:14:42,FALSE,NA,"663585483310567424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sigifso",34,TRUE,FALSE,NA,NA
"57","RT @KrBaseballNews: [이선호의 야구산택]오타니 쇼크, 무엇을 말하는가 https://t.co/ShA2X83QhL",FALSE,0,NA,2015-11-09 05:14:40,FALSE,NA,"663585475362340864",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","DZPAPIER",1,TRUE,FALSE,NA,NA
"58","쥬시마츠 진짜넘천사인것이다..내동생이면좋겠다(야구하러끌려다닌다",FALSE,1,NA,2015-11-09 05:14:11,FALSE,NA,"663585351403868160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sinryu__",0,FALSE,FALSE,NA,NA
"59","초등학교 땐 소년야구 했었슴다.",FALSE,0,NA,2015-11-09 05:14:08,FALSE,NA,"663585339139751936",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","daichi_krbot",0,FALSE,FALSE,NA,NA
"60","[이선호의 야구산택]오타니 쇼크, 무엇을 말하는가 https://t.co/ShA2X83QhL",FALSE,0,NA,2015-11-09 05:14:02,FALSE,NA,"663585314934394880",NA,"<a href=""http://twitter.com/KrBaseballNews"" rel=""nofollow"">KrBaseballNews</a>","KrBaseballNews",1,FALSE,FALSE,NA,NA
"61","어차피 2015년 야구는 코시가 재미없어지면서 끝났어. #프리미어12따위",FALSE,0,NA,2015-11-09 05:13:40,FALSE,NA,"663585220646428672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wa_ddong",0,FALSE,FALSE,NA,NA
"62","BSTODAY 모바일 사이트, 美 야구 칼럼니스트, 박병호 포스팅 실패구단 언급…콜로라도·피츠버그 가능성 ↑ https://t.co/qHcP8dJlEW",FALSE,0,NA,2015-11-09 05:13:39,FALSE,NA,"663585219539177472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","park4067",0,FALSE,FALSE,NA,NA
"63","으엑-!! 내가 야구 하는 사진 봤어!? 진짜로? 그 쪽팔린 걸 진짜 봤다고? 그건 아닌데...그건 진짜 아닌데...",FALSE,0,NA,2015-11-09 05:13:19,FALSE,NA,"663585134424158209",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","kuwata_aho_bot",0,FALSE,FALSE,NA,NA
"64","RT @phone_qudtls: 좃ㅅㅅ은꿈좋으ㅇ꿈!!!!!!!<ed><U+00A0><U+00BC><ed><U+00BC><U+009B>  내ㅇㄹ은 일어나소 야구하자!!엉!!ㆍ<ed><U+00A0><U+00BD><ed><U+00B2><U+00A3> https://t.co/bz12xPVOb7",FALSE,0,NA,2015-11-09 05:12:50,FALSE,NA,"663585011749158913",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","46_510169",170,TRUE,FALSE,NA,NA
"65","RT @m_piggyS2: @wakrapp_d 야구우우우우-?? https://t.co/x6ryo9d6Sj",FALSE,0,NA,2015-11-09 05:12:40,FALSE,NA,"663584972498857984",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","qkelrudals",2,TRUE,FALSE,NA,NA
"66","RT @_koume_princess: 얼마전 한국시리즈때 야구 보시던 아버지가 ""삼성 저 망할 놈들 두산한테 져야돼""라고 하셔서 왜 그러시나 궁금해 물어보니 ""삼성이 너 떨어뜨렸잖아""라고 하셨다. 못난 아들을 생각해주시는 아버지한테 살짝 감동을 받아…",FALSE,0,NA,2015-11-09 05:12:29,FALSE,NA,"663584925958799360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ddarlkipream",1175,TRUE,FALSE,NA,NA
"67","@shiro_ring 야구~~~~~~~",FALSE,1,"shiro_ring",2015-11-09 05:12:17,FALSE,"663568231261564929","663584873689419776","264639457","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","znfhzh18",1,FALSE,FALSE,NA,NA
"68","야구토토사이트≪★≫ KOk79ㆍCOM ≪★≫프로야구픽 한야배팅 한야토토 야구토토",FALSE,0,NA,2015-11-09 05:12:12,FALSE,NA,"663584851753177088",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","harrymin766",0,FALSE,FALSE,NA,NA
"69","이닝/회 - 각 팀이 3아웃이 될 때까지 공격과 수비를 한 차례씩 치르는 경기진행상의 단위. 한 팀의 공격은 2분의 1이닝이 된다. #야구",FALSE,0,NA,2015-11-09 05:11:54,FALSE,NA,"663584778298363904",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","yagubolkkeoya",0,FALSE,FALSE,NA,NA
"70","#야구토토하는방법  <U+0290>야구토토하는방법 <U+0290>
넘
어
강
간
API무료제공 https://t.co/KZD6ZWQ9DY
치
사
유
기
치
사
https://t.co/Avj3RSLBfv
등
별
법
개
정
으
로",FALSE,1,NA,2015-11-09 05:11:21,FALSE,NA,"663584641023012864",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","giyomi01",0,FALSE,FALSE,NA,NA
"71","RT @kyhasdf: 야구만화에서 강속구 투수는 이제 좀 지겹지않나 생각했는데 어제 한일전보니까 역시 강속구가 체고시다.",FALSE,0,NA,2015-11-09 05:11:16,FALSE,NA,"663584616800915457",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","figonhada",1,TRUE,FALSE,NA,NA
"72","한야토토∫∵∫ＭaＣ４6．ＣoＭ(까똑: хаzа)∫∵∫야구토토사이트 야구배트맨 ## 해외스포츠배팅 https://t.co/MNqKUxT7Dw # 해외스포츠배팅 # 온라인배팅사이트",FALSE,0,NA,2015-11-09 05:10:58,FALSE,NA,"663584541420838912",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","mac46com1",0,FALSE,FALSE,NA,NA
"73","(로카가 말하는 것처럼 니시우라가 정말로 고도의 야구를 하는지, 1번인 네가 확인해 봐!)",FALSE,0,NA,2015-11-09 05:10:53,FALSE,NA,"663584523641221120",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","takiitomoya_kr",0,FALSE,FALSE,NA,NA
"74","RT @_koume_princess: 얼마전 한국시리즈때 야구 보시던 아버지가 ""삼성 저 망할 놈들 두산한테 져야돼""라고 하셔서 왜 그러시나 궁금해 물어보니 ""삼성이 너 떨어뜨렸잖아""라고 하셨다. 못난 아들을 생각해주시는 아버지한테 살짝 감동을 받아…",FALSE,0,NA,2015-11-09 05:10:50,FALSE,NA,"663584507560243200",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","gwang_dil",1175,TRUE,FALSE,NA,NA
"75","@K1117K_ 별말씀을요. :-) 그나저나 야구 정말 좋아하시나봐요 ! ㅎㅎ 주현 님 퍼블릭 구경 중인데, 깨알 같은 움짤들하며… ㅎㅎ 재밌게 보고 있습니다.",FALSE,0,"K1117K_",2015-11-09 05:10:46,FALSE,"663583783619203074","663584491022106624","583682939","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","ha_noah",0,FALSE,FALSE,NA,NA
"76","야구만화에서 강속구 투수는 이제 좀 지겹지않나 생각했는데 어제 한일전보니까 역시 강속구가 체고시다.",FALSE,0,NA,2015-11-09 05:10:42,FALSE,NA,"663584476178481152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kyhasdf",1,FALSE,FALSE,NA,NA
"77","RT @ianyoun: 이번 한국야구의 부진은 실력차가 아니라 생각합니다. 언제나 세계대회엔 병역면제란 큰 선물보따리가 있었지만 이번엔 아무 타이틀이 없었죠..당구 한게임을 쳐도 짜장면 한그릇 이라도 걸어야하는 우리들이고보면 ㅋ ㅋ",FALSE,0,NA,2015-11-09 05:10:40,FALSE,NA,"663584465508110337",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dowon1023",6,TRUE,FALSE,NA,NA
"78","RT @_koume_princess: 얼마전 한국시리즈때 야구 보시던 아버지가 ""삼성 저 망할 놈들 두산한테 져야돼""라고 하셔서 왜 그러시나 궁금해 물어보니 ""삼성이 너 떨어뜨렸잖아""라고 하셨다. 못난 아들을 생각해주시는 아버지한테 살짝 감동을 받아…",FALSE,0,NA,2015-11-09 05:10:13,FALSE,NA,"663584354556211200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PIA_1014",1175,TRUE,FALSE,NA,NA
"79","야구점퍼 따뜻한거 사고싶다
누빔",FALSE,0,NA,2015-11-09 05:10:02,FALSE,NA,"663584308355985409",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dajal01",0,FALSE,FALSE,NA,NA
"80","@jj_sugarain 에

야구-!!!!야구하자-!!!",FALSE,1,"jj_sugarain",2015-11-09 05:10:02,FALSE,"663584236784345088","663584306623705088","2536463959","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jyushumatsu",0,FALSE,FALSE,NA,NA
"81","RT @_koume_princess: 얼마전 한국시리즈때 야구 보시던 아버지가 ""삼성 저 망할 놈들 두산한테 져야돼""라고 하셔서 왜 그러시나 궁금해 물어보니 ""삼성이 너 떨어뜨렸잖아""라고 하셨다. 못난 아들을 생각해주시는 아버지한테 살짝 감동을 받아…",FALSE,0,NA,2015-11-09 05:09:48,FALSE,NA,"663584248687755264",NA,"<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","ninoppp",1175,TRUE,FALSE,NA,NA
"82","#스포츠팁스터 ♥♥♥ https://t.co/Mo5KKEM7MH ♥♥♥   #해외축구픽 #토토양방치기 야구스페셜~완비 신규 10퍼센트 행사중!
https://t.co/FfudBuCxTF",FALSE,0,NA,2015-11-09 05:09:46,FALSE,NA,"663584241347760128",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","daerong72",0,FALSE,FALSE,NA,NA
"83","@jyushumatsu 응응.. 모른채로 있어줘ㅠㅠㅠ 내가 쥬시한테 뭔 말을 했던거야ㅠㅠㅠ 쥬시는 순수한 그대로 있자아 응? 야구할까ㅇㅅㅇ..?!!",FALSE,0,"jyushumatsu",2015-11-09 05:09:45,FALSE,"663583972220252161","663584236784345088","4067436134","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jj_sugarain",0,FALSE,FALSE,NA,NA
"84","RT @gyung0223: RT) 워보이테마 야구점퍼 시안이 나왔습니다.
일반 야잠원단인 멜톤,습식레자가 아닌 트윌원단입니다!
가격은 6만원(+배송비4천원). 주문량이 늘면 차액을 동봉해드립니다.
실신청 폼은 이어지는 트윗에 달게요! https://…",FALSE,0,NA,2015-11-09 05:09:25,FALSE,NA,"663584154055933952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lotus_yg",34,TRUE,FALSE,NA,NA
"85","배­트­맨­토­토『⊥』uＳd７9．Ｃoｍ(까똑: хаzа)『⊥』스­포­츠­토­토­확­률 배­당­흐­름­사­이트 ## 믈브배당 https://t.co/DXn9tTPUh5 # 메이저리그배팅 # 야구토토사이트",FALSE,0,NA,2015-11-09 05:09:20,FALSE,NA,"663584130114805760",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","zdghzdfhdhghdgh",0,FALSE,FALSE,NA,NA
"86","RT @_koume_princess: 얼마전 한국시리즈때 야구 보시던 아버지가 ""삼성 저 망할 놈들 두산한테 져야돼""라고 하셔서 왜 그러시나 궁금해 물어보니 ""삼성이 너 떨어뜨렸잖아""라고 하셨다. 못난 아들을 생각해주시는 아버지한테 살짝 감동을 받아…",FALSE,0,NA,2015-11-09 05:09:08,FALSE,NA,"663584081070845952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ruddbscjs1903",1175,TRUE,FALSE,NA,NA
"87","RT @phone_qudtls: 좃ㅅㅅ은꿈좋으ㅇ꿈!!!!!!!<ed><U+00A0><U+00BC><ed><U+00BC><U+009B>  내ㅇㄹ은 일어나소 야구하자!!엉!!ㆍ<ed><U+00A0><U+00BD><ed><U+00B2><U+00A3> https://t.co/bz12xPVOb7",FALSE,0,NA,2015-11-09 05:08:59,FALSE,NA,"663584045612183552",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Panayo_Reindeer",170,TRUE,FALSE,NA,NA
"88","RT @_koume_princess: 얼마전 한국시리즈때 야구 보시던 아버지가 ""삼성 저 망할 놈들 두산한테 져야돼""라고 하셔서 왜 그러시나 궁금해 물어보니 ""삼성이 너 떨어뜨렸잖아""라고 하셨다. 못난 아들을 생각해주시는 아버지한테 살짝 감동을 받아…",FALSE,0,NA,2015-11-09 05:08:39,FALSE,NA,"663583958752325632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","meerkat_0165",1175,TRUE,FALSE,NA,NA
"89","""운동은 안하냐고? 닌텐도WII가 있잖아..!!
야구라던가 재밋다구..!! 

흐..흥.. 2P가 남는데 나랑 같이하게 해줄게..!""",FALSE,0,NA,2015-11-09 05:08:38,FALSE,NA,"663583955342352384",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","GameTsundereBot",0,FALSE,FALSE,NA,NA
"90","RT @_koume_princess: 얼마전 한국시리즈때 야구 보시던 아버지가 ""삼성 저 망할 놈들 두산한테 져야돼""라고 하셔서 왜 그러시나 궁금해 물어보니 ""삼성이 너 떨어뜨렸잖아""라고 하셨다. 못난 아들을 생각해주시는 아버지한테 살짝 감동을 받아…",FALSE,0,NA,2015-11-09 05:08:25,FALSE,NA,"663583902678683649",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","clock6_ch",1175,TRUE,FALSE,NA,NA
"91","축구토토추천♥§§§♥ KOk79．COM ♥§§§♥축구토토추천 사설사이트 야구토토 배팅사이트 축구배팅",FALSE,0,NA,2015-11-09 05:07:59,FALSE,NA,"663583790426533888",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","chanyeolmalabs",0,FALSE,FALSE,NA,NA
"92","#야구토토사이트추천 ≪※≫ KOk79ㆍC0M ≪※≫ #사설토토사이트추천 야구토토사이트추천",FALSE,0,NA,2015-11-09 05:07:29,FALSE,NA,"663583666736508928",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","cch6410",0,FALSE,FALSE,NA,NA
"93","역시 우리나라에서 야구하면 안되는곳은 첫번째는 개씹솩와이번스요 둘째는 국가대표요.....",FALSE,0,NA,2015-11-09 05:07:12,FALSE,NA,"663583594342842368",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","siheunghenhja",0,FALSE,FALSE,NA,NA
"94","RT @_koume_princess: 얼마전 한국시리즈때 야구 보시던 아버지가 ""삼성 저 망할 놈들 두산한테 져야돼""라고 하셔서 왜 그러시나 궁금해 물어보니 ""삼성이 너 떨어뜨렸잖아""라고 하셨다. 못난 아들을 생각해주시는 아버지한테 살짝 감동을 받아…",FALSE,0,NA,2015-11-09 05:06:31,FALSE,NA,"663583423861100548",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DimmestForte",1175,TRUE,FALSE,NA,NA
"95","RT @_koume_princess: 얼마전 한국시리즈때 야구 보시던 아버지가 ""삼성 저 망할 놈들 두산한테 져야돼""라고 하셔서 왜 그러시나 궁금해 물어보니 ""삼성이 너 떨어뜨렸잖아""라고 하셨다. 못난 아들을 생각해주시는 아버지한테 살짝 감동을 받아…",FALSE,0,NA,2015-11-09 05:06:31,FALSE,NA,"663583422288236544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","capcapman",1175,TRUE,FALSE,NA,NA
"96","RT @seido_09: 본 공구는 단체제작의 특성상 스냅백과 야구점퍼 각각 최소수량 20개이상일 때 공구가 진행됩니다:) 감사합니다.",FALSE,0,NA,2015-11-09 05:06:11,FALSE,NA,"663583340885245952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yunda02",2,TRUE,FALSE,NA,NA
"97","RT @_koume_princess: 얼마전 한국시리즈때 야구 보시던 아버지가 ""삼성 저 망할 놈들 두산한테 져야돼""라고 하셔서 왜 그러시나 궁금해 물어보니 ""삼성이 너 떨어뜨렸잖아""라고 하셨다. 못난 아들을 생각해주시는 아버지한테 살짝 감동을 받아…",FALSE,0,NA,2015-11-09 05:05:40,FALSE,NA,"663583209368612864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","han0ni2",1175,TRUE,FALSE,NA,NA
"98","? ㅅㅂ 11일 마을 안해 ㅠㅠㅠㅠ야구때매 ㅠㅠ",FALSE,0,NA,2015-11-09 05:05:33,FALSE,NA,"663583179396149248",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","_EmO_ss",0,FALSE,FALSE,NA,NA
"99","@fullbase_ 역시 야구를 사랑하시는 선생님…",FALSE,0,"fullbase_",2015-11-09 05:05:18,FALSE,"663578233401511936","663583116892594177","206694749","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","ggulpooh",0,FALSE,FALSE,NA,NA
"100","누군가 내 트윗을 보며 쟨 학교 다닌다면서 맨날 야구보고 영화보고 덕질도 하네..언제 공부하지..라고 생각할텐데.. ☞ 안합니다",FALSE,0,NA,2015-11-09 05:04:42,FALSE,NA,"663582967936081920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Vita_D_ang",0,FALSE,FALSE,NA,NA
